section,subsection,content,document_id,page
4_SEGURIDAD_FRAUDE,4.3_RESPONSABILIDAD_FRAUDE,Si reportas fraude en 48 horas: eres protegido al 100%. Si reportas después de 48 horas: responsabilidad compartida según análisis. Si fuiste negligente (compartiste contraseña): no hay protección.,BDT_004,3
4_SEGURIDAD_FRAUDE,4.4_REPORTE_INCIDENTES,Reporta fraude inmediatamente: App móvil > Reportar fraude O Email: fraud@bdt.com.ve O Teléfono: +58 (212) 999-1111. Disponible 24/7. Tiempo de respuesta inicial: máximo 30 minutos.,BDT_004,4
5_TARIFAS_SUSCRIPCION,5.1_PLANES_DISPONIBLES,"PLAN BÁSICO (GRATIS): Sin comisión en transferencias BDT. 500 USD/día límite. PLAN PLUS (Bs. 500/mes): Sin comisión en nacionales. 5,000 USD/día límite. Seguro de compra. PLAN PREMIUM (Bs. 1,500/mes): Comisiones reducidas 50%. Límites ilimitados. Gestor dedicado. Retiro a cajeros automáticos gratis.",BDT_005,1
5_TARIFAS_SUSCRIPCION,5.2_CAMBIOS_PLANES,"Puedes cambiar de plan en cualquier momento. Cancelación: efectiva inmediatamente, sin penalización. Cambios entre planes: se procesan en la próxima fecha de facturación. Reembolso prorrateado si cancelas antes de final del ciclo.",BDT_005,2
5_TARIFAS_SUSCRIPCION,5.3_METODOS_PAGO_SUSCRIPCION,Pagos automáticos: cada 1º del mes. Métodos aceptados: (1) Débito de tu cuenta BDT. (2) Tarjeta de crédito (Visa/Mastercard). (3) Transferencia bancaria. Pagos fallidos: 2 reintentos automáticos. Suspensión de cuenta después de 3 intentos fallidos.,BDT_005,3
5_TARIFAS_SUSCRIPCION,5.4_FACTURACION,Recibes factura digital por email. Puedes descargarla desde tu portal. Se mantiene historial de 24 meses. Disputas de facturación: contacta billing@bdt.com.ve dentro de 30 días.,BDT_005,4
6_FAQ_GENERAL,6.1_COMO_CREAR_CUENTA,"(1) Descarga la app BDT o visita web.bdt.com.ve. (2) Toca 'Crear Cuenta'. (3) Verifica tu email. (4) Captura documento de identidad (anverso/reverso). (5) Verifica selfie con reconocimiento facial. (6) Crea contraseña segura (mín. 12 caracteres, mayúsculas, números, símbolos). (7) Activa 2FA. Tiempo total: 5-10 minutos.",BDT_006,1
6_FAQ_GENERAL,6.2_RECUPERAR_CUENTA,(1) Toca 'Olvidé mi contraseña'. (2) Verifica tu identidad con 2FA. (3) Recibirás enlace por email (válido 1 hora). (4) Crea nueva contraseña. Si no tienes acceso a 2FA: contacta soporte@bdt.com.ve con documento de identidad.,BDT_006,2
6_FAQ_GENERAL,6.3_DESCARGAR_ESTADO_CUENTA,"Desde app: Menú > Documentos > Descargar estado de cuenta. Recibirás PDF con movimientos de últimos 90 días. Formato: transacciones, fechas, montos, saldos. Envío por email también disponible.",BDT_006,3
6_FAQ_GENERAL,6.4_CONTACTAR_SOPORTE,"Email: soporte@bdt.com.ve (respuesta en 24 horas). Teléfono: +58 (212) 999-1111 (8am-6pm VET, lunes-viernes). Chat: disponible en app 8am-10pm diariamente. WhatsApp: +58-412-9991111 (respuesta en 2 horas).",BDT_006,4
7_CUMPLIMIENTO_REGULATORIO,7.1_REGULACION_SUDEBAN,BDT está regulado por SUDEBAN (Superintendencia de las Instituciones del Sector Bancario). Número de licencia: SB-2024-001. Auditorías anuales obligatorias. Cumplimiento con normativas AML/KYC.,BDT_007,1
7_CUMPLIMIENTO_REGULATORIO,7.2_PROTECCION_FONDOS,"Fondos de usuarios protegidos hasta Bs. 500,000 por el Fondo de Garantía de Depósitos (FGD). Estructura de capital: 40% del fondo de reserva obligatorio.",BDT_007,2
7_CUMPLIMIENTO_REGULATORIO,7.3_REPORTES_REGULATORIOS,BDT envía reportes trimestrales a SUDEBAN. Disponibles públicamente en portal de transparencia. Auditoría externa independiente cada semestre.,BDT_007,3
